Folduin Grenorin
Othorion Ellamin
Taleasin Glynralei
Alaion Chaevalur
Rilitar Crayra
Kailu Phimyar
Ruven Grexisys
Hagwin Fenmoira
Dain Vaven
Erlan Krispetor
Lazziar Torquinal
Kilyn Xilroris
Axilya Elberos
Namys Virrora
Jandar Iarrona
Elaith Genro
Adresin Wysarona
Halamar Iarwynn
Filaurel Shatoris
Pelleas Ercyne
Ilyrana Iliro
Itireae Umehana
Melarue Miaxina
Bonaluria Yllaydark
Zestari Ropetor
Alenia Leovyre
Cremia Holanan
Shalaevar Yelzumin
Lierin Ralonan
Keenor Inaren
Kyrenic Theris
Zaos Adthyra
Ethlando Luqirelle
Jonik Beixalim
Samblar Paric
Varitan Grezeiros
Taredd Bryzeiros
Arbelladon Omatris
Kymil Ersalor
Wistari Eilbalar
Ivasaar Caimyar
Wynather Chaeydark
Arel Binelis
Elauthin Sarro
Fylson Trisfir
Keenor Xilqen
Lhoris Herquinal
Arbane Naegeiros
Ashryn Mirafiel
Saida Qinpetor
Merethyl Holarie
Nyana Vennorin
Allynna Ravakian
Ameria Enhice
Yathanae Rohana
Nithroel Genynore
Salihn Carstina
Selussa Reyris
Malruthiia Quixidor
Shalia Aralen
Garrik Dorneiros
Jannalor Farkas
Erlareo Quidove
Iolas Pressalor
Niossae Grebalar
Aolis Dapeiros
Vulas Genqirelle
Arel Tramenor
Reluraun Shapetor
Khilseith Carthana
Dain Erran
Ellisar Nerilamin
Elnaril Reygella
Myrdin Syllee
Ardreth Josatra
Feno Phiran
Ailen Holalar
Cornaith Torwraek
Merith Urinala
Avourel Phiroris
Allannia Dorlana
Holone Dorhice
Elenaril Xyrdove
Chamylla Valgeiros
Filauria Zumgwyn
Uneathen Wysatoris
Dessielle Mirakas
Nuala Helera
Melarue Sylgeiros
Ashera Holazorwyn
Halflar Ralomaris
Taenaran Tranelis
Filarion Trarieth
Olaurae Herxidor
Afamrail Qiwenys
Theodemar Wranhana
Ninthalor Keagolor
Gaelin Ervalur
Nyvorlas Iarlee
Eldar Valstina
Sylmare Trarie
Haemir Lufaren
Awstin Heaven
Ianto Elley
Wynford Belling
Tomos Cadogan
Jac Llewellyn
Llion Cornog
Gwallter Hire
Iwan Bunner
Beinon Lanman
Twm Gibby
Gwri Harries
Huwcyn Carew
Cadel Jones
Baglen Balch
Dewey Evan
Grufudd Hughes
Bedyw Uren
Mael Probert
Caerwyn Jones
Delwyn Humphries
Steffon Kemble
Derwyn Maddex
Prys Maddox
Gawain Heaven
Gareth Stackpoole
Brys Badham
Meredydd Brice
Luc Taaffe
Harri Reese
Guto Baughan
Hafren Edwards
Gwanwyn Pye
Siany Gittings
Eirlys Hughes
Owena Windsor
Lyneth Rhees
Medi Morgan
Heulwen Maddex
Callwen Esau
Begw Lewis
Margred Binner
Iola Hovey
Glenda Isaac
Isolde Llewellyn
Lynn Arthur
Owena Bliven
Erdudvyl Cadle
Dafina Harries
Siani Cattell
Cerian Cecil
Dwynwen Uren
Aelwyd Binion
Aelwen Craddock
Cadi Bellis
Berthog Moore
Meleri Teague
Terrwyn Boal
Gwennan Uren
Glynis Wren
Rhoswen Pendry
Llyr Bebb
Bleddyn Pumphrey
Ceri Swavely
Preece Cadogan
Caerwyn Price
Garth Jack
Cadog Bevan
Amlawdd Howell
Taliesin Harries
Delwin Blethen
